Date,Overall AQI Value,Main Pollutant,Site Name (of Overall AQI),Site ID (of Overall AQI),Source (of Overall AQI),CO,Ozone,PM10,PM25,
03/08/2024,32,Ozone,North HS,39-153-0026,AQS,32,9,30,,
04/08/2024,61,Ozone,Lake Rockwell,39-133-1001,AQS,61,12,36,,
05/08/2024,51,Ozone,Lake Rockwell,39-133-1001,AQS,51,15,25,,
06/08/2024,44,Ozone,Lake Rockwell,39-133-1001,AQS,44,13,29,,
07/08/2024,90,Ozone,North HS,39-153-0026,AQS,90,16,52,,
08/08/2024,36,Ozone,North HS,39-153-0026,AQS,36,10,25,,
09/08/2024,38,Ozone,North HS,39-153-0026,AQS,38,6,19,,
10/08/2024,35,Ozone,Lake Rockwell,39-133-1001,AQS,35,16,33,,
11/08/2024,38,PM2.5,East HS,39-153-0017,AQS,.,11,38,,
12/08/2024,48,PM2.5,East HS,39-153-0017,AQS,.,17,48,,
01/09/2024,23,PM2.5,East HS,39-153-0017,AirNow,.,6,23,,
02/09/2024,52,PM2.5,East HS,39-153-0017,AQS,.,19,52,,
03/09/2024,32,Ozone,North HS,39-153-0026,AQS,32,5,17,,
04/09/2024,51,PM2.5,East HS,39-153-0017,AQS,49,18,51,,
05/09/2024,34,Ozone,Lake Rockwell,39-133-1001,AQS,34,7,17,,
06/09/2024,42,Ozone,Lake Rockwell,39-133-1001,AQS,42,7,16,,
07/09/2024,84,Ozone,North HS,39-153-0026,AQS,84,19,56,,
08/09/2024,48,Ozone,North HS,39-153-0026,AQS,48,12,31,,
09/09/2024,41,Ozone,North HS,39-153-0026,AQS,41,15,31,,
10/09/2024,37,Ozone,Lake Rockwell,39-133-1001,AQS,37,11,26,,
11/09/2024,24,PM2.5,East HS,39-153-0017,AQS,.,8,24,,
12/09/2024,22,PM2.5,East HS,39-153-0017,AQS,.,6,22,,
01/10/2024,17,PM2.5,East HS,39-153-0017,AQS,.,5,17,,
02/10/2024,53,PM2.5,East HS,39-153-0017,AQS,.,15,53,,
03/10/2024,38,Ozone,North HS,39-153-0026,AQS,38,4,12,,
04/10/2024,37,PM2.5,East HS,39-153-0017,AQS,32,11,37,,
05/10/2024,34,Ozone,Lake Rockwell,39-133-1001,AQS,34,10,29,,
06/10/2024,32,PM2.5,East HS,39-153-0017,AQS,27,11,32,,
07/10/2024,40,Ozone,North HS,39-153-0026,AQS,40,9,26,,
08/10/2024,36,Ozone,North HS,39-153-0026,AQS,36,9,26,,
09/10/2024,51,Ozone,Lake Rockwell,39-133-1001,AQS,51,21,49,,
10/10/2024,28,Ozone,Lake Rockwell,39-133-1001,AQS,28,10,22,,
11/10/2024,52,PM2.5,East HS,39-153-0017,AQS,.,14,52,,
12/10/2024,55,PM2.5,East HS,39-153-0017,AQS,.,16,55,,
01/11/2024,42,PM2.5,East HS,39-153-0017,AirNow,.,10,42,,
02/11/2024,46,PM2.5,East HS,39-153-0017,AQS,.,9,46,,
03/11/2024,42,Ozone,Lake Rockwell,39-133-1001,AQS,42,6,18,,
04/11/2024,37,Ozone,Lake Rockwell,39-133-1001,AQS,37,10,33,,
05/11/2024,34,Ozone,North HS,39-153-0026,AQS,34,9,33,,
06/11/2024,46,PM2.5,East HS,39-153-0017,AQS,42,15,46,,
07/11/2024,44,Ozone,North HS,39-153-0026,AQS,44,9,34,,
08/11/2024,38,Ozone,North HS,39-153-0026,AQS,38,11,28,,
09/11/2024,97,Ozone,North HS,39-153-0026,AQS,97,21,51,,
10/11/2024,39,Ozone,Lake Rockwell,39-133-1001,AQS,39,19,35,,
11/11/2024,18,PM2.5,East HS,39-153-0017,AQS,.,6,18,,
12/11/2024,54,PM2.5,East HS,39-153-0017,AQS,.,14,54,,
01/12/2024,40,PM2.5,East HS,39-153-0017,AirNow,.,11,40,,
02/12/2024,55,PM2.5,East HS,39-153-0017,AQS,.,13,55,,
03/12/2024,47,Ozone,Lake Rockwell,39-133-1001,AQS,47,15,37,,
04/12/2024,42,Ozone,Lake Rockwell,39-133-1001,AQS,42,4,11,,
05/12/2024,41,Ozone,Lake Rockwell,39-133-1001,AQS,41,6,23,,
06/12/2024,87,Ozone,Lake Rockwell,39-133-1001,AQS,87,18,35,,
07/12/2024,80,Ozone,North HS,39-153-0026,AQS,80,13,43,,
08/12/2024,34,Ozone,North HS,39-153-0026,AQS,34,10,27,,
09/12/2024,80,Ozone,North HS,39-153-0026,AQS,80,21,53,,
10/12/2024,52,PM2.5,East HS,39-153-0017,AQS,28,20,52,,
11/12/2024,9,PM2.5,East HS,39-153-0017,AQS,.,3,9,,
12/12/2024,29,PM2.5,East HS,39-153-0017,AQS,.,21,29,,
01/01/2025,52,PM2.5,FORT COLLINS - CSU - Edison,08-069-0009,AirNow,5,46,15,52,24
02/01/2025,45,Ozone,Rocky Mountain NP - Long's Peak,08-069-0007,AirNow,7,45,.,16,11
03/01/2025,58,Ozone,Rocky Mountain NP - Long's Peak,08-069-0007,AirNow,5,58,18,34,.
04/01/2025,67,Ozone,Rocky Mountain NP - Long's Peak,08-069-0007,AirNow,.,67,5,13,.
01/02/2025,51,Ozone,Rocky Mountain NP - Long's Peak,08-069-0007,AQS,5,51,14,39,20
02/02/2025,42,Ozone,FORT COLLINS - WEST,08-069-0011,AQS,5,42,5,14,17
03/02/2025,58,Ozone,FORT COLLINS - WEST,08-069-0011,AirNow,.,58,19,42,.
04/02/2025,51,Ozone,Rocky Mountain NP - Long's Peak,08-069-0007,AirNow,.,51,4,14,.
